"Daily Weather Observations for Warrnambool, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3083.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Warrnambool Airport NDB {station 090186}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","12.0","30.7","0","","","SW","46","14:10","16.1","100","","NNE","22","1016.7","29.1","30","","SW","35","1015.2"
"","2016-03-2","12.8","24.8","0","","","SSW","44","15:28","19.8","83","","NNE","7","1016.8","21.9","70","","SSW","30","1017.5"
"","2016-03-3","11.3","23.6","0","","","S","46","17:13","16.5","84","","ESE","17","1021.7","22.7","59","","SSE","28","1019.5"
"","2016-03-4","10.0","25.9","0","","","SSW","39","15:57","16.9","89","","ESE","11","1017.7","24.3","65","","SSW","22","1015.3"
"","2016-03-5","16.9","24.0","0","","","SSE","39","13:03","18.4","91","","SSE","22","1020.4","21.1","70","","S","28","1020.5"
"","2016-03-6","11.1","23.8","0","","","SSE","46","15:26","15.6","94","","E","13","1020.0","21.5","74","","SSE","33","1019.4"
"","2016-03-7","15.5","24.1","1.8","","","SE","54","09:53","18.1","94","","SSE","26","1021.3","23.0","68","","SSE","31","1020.5"
"","2016-03-8","14.9","33.1","0","","","SW","46","19:22","17.5","100","","ESE","9","1018.1","26.7","67","","SSW","30","1014.1"
"","2016-03-9","16.8","21.3","0","","","SSW","33","08:31","19.2","100","","WSW","13","1016.8","19.6","94","","S","15","1018.0"
"","2016-03-10","15.4","18.5","1.6","","","SE","35","02:13","15.8","100","","SE","11","1021.2","17.3","100","","SSE","15","1018.6"
"","2016-03-11","15.8","25.0","4.0","","","SSW","31","15:08","17.3","100","","NNE","9","1017.9","22.6","80","","S","22","1016.7"
"","2016-03-12","16.3","21.8","0.2","","","S","33","14:33","16.9","100","","SW","11","1021.3","20.7","82","","S","20","1021.5"
"","2016-03-13","15.4","21.5","0","","","S","33","21:01","16.3","99","","ESE","9","1021.3","20.5","76","","S","20","1019.7"
"","2016-03-14","14.9","19.5","1.0","","","SSE","50","13:32","15.2","99","","SSE","24","1022.6","18.3","69","","SSE","35","1022.4"
"","2016-03-15","13.4","24.5","0.2","","","E","52","12:11","16.1","93","","SSE","11","1021.5","23.1","64","","ESE","26","1019.0"
"","2016-03-16","14.7","32.0","0","","","ENE","35","08:05","17.6","88","","ENE","20","1017.4","29.2","48","","S","22","1013.4"
"","2016-03-17","13.0","35.6","0","","","NNW","57","14:02","22.5","70","","N","19","1009.7","34.2","24","","N","35","1003.6"
"","2016-03-18","13.3","17.9","12.2","","","SW","72","12:15","14.6","81","","SW","43","999.8","15.3","74","","SW","41","1006.2"
"","2016-03-19","12.2","17.3","2.4","","","S","43","14:33","13.9","69","","S","24","1016.2","16.8","60","","SSW","24","1018.8"
"","2016-03-20","11.5","19.5","0","","","S","43","15:26","12.9","87","","E","2","1022.0","18.3","70","","SSW","24","1021.4"
"","2016-03-21","8.3","20.9","0","","","SSE","46","14:23","13.3","93","","E","7","1022.9","19.5","64","","SSE","31","1020.5"
"","2016-03-22","6.6","26.8","0","","","NNE","35","09:45","12.3","100","","NE","11","1019.8","25.7","39","","WNW","9","1016.1"
"","2016-03-23","12.2","24.7","0","","","SW","35","11:05","19.6","56","","NNW","17","1015.8","21.0","63","","S","20","1016.8"
"","2016-03-24","14.5","19.8","0","","","S","31","13:39","15.8","90","","SSE","17","1021.7","18.1","73","","S","24","1020.1"
"","2016-03-25","9.6","20.7","0","","","WSW","41","11:57","13.2","83","","NW","9","1021.5","19.3","59","","SW","24","1020.7"
"","2016-03-26","13.0","18.8","0.4","","","SW","43","14:52","14.2","100","","WNW","19","1020.6","18.0","79","","SW","28","1020.6"
"","2016-03-27","12.4","18.0","1.0","","","SSE","35","12:54","14.2","68","","SSW","17","1023.0","17.1","53","","SSW","20","1022.0"
"","2016-03-28","10.6","18.1","0","","","SW","35","14:28","13.3","84",""," ","Calm","1021.1","16.5","66","","SSW","24","1020.2"
"","2016-03-29","10.6","17.7","0.6","","","S","37","11:41","13.0","89",""," ","Calm","1022.5","16.3","56","","SSE","24","1021.8"
"","2016-03-30","12.4","19.9","0","","","SW","37","15:50","13.5","68","","NW","9","1022.1","17.9","43","","SW","20","1021.1"
"","2016-03-31","10.5","23.1","0","","","WNW","39","12:45","14.7","95","","NW","19","1019.8","22.1","58","","W","24","1017.4"
