"Daily Weather Observations for Willow Grove, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3100.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Willow Grove does not take observations every day. Consequently, some of the rainfall and evaporation readings are of totals accumulated over several days."
"Observations were drawn from Willow Grove (Blue Rock Reservoir) {station 085283}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","14.5","33.5","0","8.0","","","","","16.1","99","3","","","","","","","","",""
"","2016-03-2","16.0","","0","8.0","","","","","21.5","99","1","","","","","","","","",""
"","2016-03-3","","29.1","0","","","","","","","","","","","","","","","","",""
"","2016-03-4","15.3","","0","4.0","","","","","17.8","93","3","","","","","","","","",""
"","2016-03-5","","","","","","","","","","","","","","","","","","","",""
"","2016-03-6","","34.5","","","","","","","","","","","","","","","","","",""
"","2016-03-7","16.8","27.5","1.0","13.3","","","","","18.5","100","6","","","","","","","","",""
"","2016-03-8","18.0","34.0","0","4.0","","","","","22.0","92","6","SE","19","","","","","","",""
"","2016-03-9","19.6","31.7","0","7.0","","","","","25.0","95","7"," ","Calm","","","","","","",""
"","2016-03-10","17.4","21.0","2.0","4.8","","","","","18.5","96","8","ESE","6","","","","","","",""
"","2016-03-11","17.8","27.6","14.8","2.8","","","","","19.5","96","8","WNW","6","","","","","","",""
"","2016-03-12","18.0","25.0","0","3.4","","","","","18.1","94","8"," ","Calm","","","","","","",""
"","2016-03-13","17.6","25.9","0.8","2.4","","","","","17.9","97","8","SSW","6","","","","","","",""
"","2016-03-14","16.8","20.2","1.0","1.6","","","","","18.0","92","8","SSW","9","","","","","","",""
"","2016-03-15","15.1","21.0","0","4.0","","","","","15.6","94","8","ESE","9","","","","","","",""
"","2016-03-16","","25.0","0.6","4.6","","","","","15.5","100","7","E","19","","","","","","",""
"","2016-03-17","9.0","","0","4.0","","","","","13.5","100","2","S","9","","","","","","",""
"","2016-03-18","","18.5","","","","","","","","","","","","","","","","","",""
"","2016-03-19","10.0","17.0","17.0","2.0","","","","","11.0","100","7","W","19","","","","","","",""
"","2016-03-20","6.0","21.0","1.0","3.0","","","","","7.0","100","0"," ","Calm","","","","","","",""
"","2016-03-21","6.0","21.0","0","6.0","","","","","10.5","100","0","SE","9","","","","","","",""
"","2016-03-22","9.0","23.0","0","1.4","","","","","12.5","100","0","SE","19","","","","","","",""
"","2016-03-23","9.0","25.5","0","6.3","","","","","10.5","100","1"," ","Calm","","","","","","",""
"","2016-03-24","10.5","21.0","0","3.0","","","","","15.0","100","7"," ","Calm","","","","","","",""
"","2016-03-25","14.5","21.5","0","2.4","","","","","14.5","100","7"," ","Calm","","","","","","",""
"","2016-03-26","11.0","20.0","0","4.0","","","","","14.5","100","7","NW","19","","","","","","",""
"","2016-03-27","13.0","18.5","0","3.2","","","","","13.0","100","4"," ","Calm","","","","","","",""
"","2016-03-28","11.0","17.0","0","3.0","","","","","12.0","100","2","SE","9","","","","","","",""
"","2016-03-29","11.0","17.1","0","3.0","","","","","13.0","100","7","SE","6","","","","","","",""
"","2016-03-30","10.5","","0.5","2.0","","","","","12.5","97","8","WNW","6","","","","","","",""
"","2016-03-31","","22.1","0","","","","","","","","","","","","","","","","",""
