"Daily Weather Observations for Wilsons Promontory, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3085.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Wilsons Promontory Lighthouse {station 085096}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","18.0","24.1","1.8","","","ENE","57","00:52","20.3","91","","NNE","37","1017.3","22.3","77","","NNE","11","1015.9"
"","2016-03-2","20.2","25.7","0","","","W","54","22:10","23.2","67","","NNE","13","1016.2","23.8","60","","WSW","19","1015.1"
"","2016-03-3","15.7","21.0","1.8","","","WSW","48","01:35","17.6","73","","WSW","20","1021.1","20.7","51","","NE","11","1019.9"
"","2016-03-4","17.6","23.8","0","","","NNE","43","19:18","19.7","95","","ENE","30","1018.4","22.1","81","","NE","31","1015.7"
"","2016-03-5","18.6","20.8","0","","","WSW","57","10:15","19.0","89","","W","22","1018.0","19.4","74","","W","30","1019.1"
"","2016-03-6","16.9","20.2","0","","","WSW","43","12:45","18.6","85","","NNE","6","1020.4","","","","","",""
"","2016-03-7","18.4","21.7","0","","","W","50","03:41","19.5","92","","N","13","1019.5","20.4","79","","E","7","1021.2"
"","2016-03-8","19.3","33.5","0","","","ENE","76","04:57","20.5","91","","ENE","54","1020.9","21.6","92","","NE","43","1018.6"
"","2016-03-9","20.5","25.1","0","","","W","70","07:56","25.1","60","","W","48","1012.5","21.5","82","","W","39","1015.7"
"","2016-03-10","17.1","21.3","0.6","","","NNE","41","13:36","17.4","87","","E","13","1021.6","20.1","92","","NNE","30","1019.6"
"","2016-03-11","17.3","23.0","11.8","","","NNE","48","00:52","21.1","88","","W","28","1016.1","21.9","83","","W","31","1015.1"
"","2016-03-12","18.8","20.6","0","","","WSW","41","14:53","19.9","85","","W","17","1019.7","19.1","89","","WSW","26","1019.8"
"","2016-03-13","17.1","20.0","0","","","WSW","24","00:34","17.7","92","","WSW","4","1020.9","19.2","86",""," ","Calm","1019.3"
"","2016-03-14","17.1","19.1","0","","","E","69","22:35","17.5","74","","WSW","31","1019.1","18.5","63","","W","30","1019.3"
"","2016-03-15","16.5","19.2","1.8","","","E","78","21:59","17.1","69","","E","57","1024.6","17.8","69","","E","54","1023.7"
"","2016-03-16","16.9","19.6","0","","","ENE","80","00:21","18.4","82","","ENE","54","1020.9","19.4","82","","NE","48","1018.4"
"","2016-03-17","17.5","25.3","0","","","NNE","63","01:01","17.9","87","","NNE","31","1013.0","20.2","79","","NE","33","1007.6"
"","2016-03-18","14.3","16.3","21.4","","","WSW","165","14:16","15.3","89","","WSW","87","992.0","14.6","92","","W","46","992.9"
"","2016-03-19","12.1","17.2","8.2","","","WSW","115","23:58","14.9","55","","SW","52","1010.0","15.8","52","","SSW","9","1014.9"
"","2016-03-20","13.1","18.4","0","","","ENE","31","09:43","16.6","57",""," ","Calm","1021.3","17.6","64","","NE","15","1021.1"
"","2016-03-21","14.7","18.7","0","","","ENE","37","22:03","16.9","68","","ESE","13","1022.1","17.5","76","","ENE","20","1021.1"
"","2016-03-22","15.7","18.7","0","","","NE","41","14:44","17.5","78","","ENE","33","1020.4","18.3","66","","NE","31","1018.4"
"","2016-03-23","15.4","21.8","0","","","NNE","41","04:16","17.0","71","","NNE","17","1015.3","21.0","55","","W","19","1015.0"
"","2016-03-24","15.7","17.9","0","","","SW","44","15:32","15.9","78","","WSW","24","1020.0","16.8","68","","WSW","33","1018.8"
"","2016-03-25","14.6","18.8","0","","","WNW","59","13:37","15.8","74","","W","26","1018.8","17.8","61","","W","35","1017.4"
"","2016-03-26","15.0","18.8","0.4","","","WSW","67","18:56","16.3","77","","W","33","1017.3","17.0","81","","W","37","1016.9"
"","2016-03-27","14.3","16.0","2.6","","","WSW","67","03:34","14.8","61","","SW","22","1019.9","15.1","60","","SW","35","1019.9"
"","2016-03-28","13.8","17.3","0","","","WSW","52","23:29","15.0","50","","S","17","1020.2","15.8","55","","S","17","1018.6"
"","2016-03-29","14.6","17.0","0","","","SW","26","05:58","14.9","58","","SSW","7","1020.9","16.0","55","","SSE","11","1020.2"
"","2016-03-30","13.1","16.0","1.2","","","SW","63","15:27","14.7","87","","SSW","19","1018.6","15.9","65","","SW","43","1017.2"
"","2016-03-31","14.3","20.0","0","","","NW","57","13:50","15.4","82","","WNW","33","1017.8","18.4","67","","W","30","1016.5"
