"Daily Weather Observations for Wonthaggi, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3086.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Wonthaggi, evaporation taken from Korumburra."
"Evaporation observations may not appear until several months later."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Wonthaggi {station 086127}"
"Evaporation observations are from Korumburra Sth Gippsland Water {station 085200}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","14.9","31.4","0","","","","","","18.2","100","7","NE","6","1018.0","","","","","",""
"","2016-03-2","17.4","31.7","0","","","","","","19.7","79","3","NE","6","1016.6","","","","","",""
"","2016-03-3","14.5","23.7","0","","","","","","17.0","90","6","ESE","6","1022.0","","","","","",""
"","2016-03-4","14.0","32.6","0","","","","","","18.3","96","3","ESE","22","1019.0","","","","","",""
"","2016-03-5","18.2","21.9","0","","","","","","20.0","92","8","SSW","7","1019.9","","","","","",""
"","2016-03-6","16.0","24.0","0","","","","","","18.1","93","8","SSE","4","1021.3","","","","","",""
"","2016-03-7","17.0","24.4","1.4","","","","","","18.6","94","8","ENE","24","1019.5","","","","","",""
"","2016-03-8","18.4","33.2","0.2","","","","","","21.9","93","7","ENE","30","1019.8","","","","","",""
"","2016-03-9","21.9","23.0","0","","","","","","21.9","96","8","SSW","33","1015.6","","","","","",""
"","2016-03-10","16.5","22.2","0.4","","","","","","17.4","100","8","SE","6","1021.2","","","","","",""
"","2016-03-11","17.3","","4.8","","","","","","19.8","100","8","W","7","1017.7","","","","","",""
"","2016-03-12","17.3","21.7","0","","","","","","19.2","97","8"," ","Calm","1020.5","","","","","",""
"","2016-03-13","17.3","23.4","0","","","","","","18.2","84","8","SSE","11","1021.7","","","","","",""
"","2016-03-14","16.5","21.7","0.2","","","","","","17.9","90","7","SSW","22","1021.2","","","","","",""
"","2016-03-15","13.0","23.7","0","","","","","","18.1","89","7","ESE","65","1023.4","","","","","",""
"","2016-03-16","16.2","29.4","0","","","","","","18.9","90","4","E","52","1020.3","","","","","",""
"","2016-03-17","16.5","33.3","0","","","","","","19.2","89","6","E","15","1012.6","","","","","",""
"","2016-03-18","14.9","18.1","15.0","","","","","","14.9","94","8","SW","19","996.5","","","","","",""
"","2016-03-19","12.0","18.1","0.2","","","","","","14.4","92","8","SSW","15","1013.3","","","","","",""
"","2016-03-20","7.0","20.9","0","","","","","","10.0","92","2","SSE","6","1021.9","","","","","",""
"","2016-03-21","9.4","20.7","0","","","","","","11.4","97","1","SE","6","1022.7","","","","","",""
"","2016-03-22","9.5","25.4","0","","","","","","12.5","100","0","E","11","1021.0","","","","","",""
"","2016-03-23","11.3","27.2","0","","","","","","14.4","90","7","E","6","1016.1","","","","","",""
"","2016-03-24","14.3","20.3","0","","","","","","16.2","93","7"," ","Calm","1021.4","","","","","",""
"","2016-03-25","12.5","21.0","0","","","","","","16.3","89","7","WSW","15","1020.7","","","","","",""
"","2016-03-26","14.0","21.1","0.8","","","","","","16.1","96","7","WNW","15","1019.5","","","","","",""
"","2016-03-27","13.1","19.0","0.8","","","","","","16.0","87","7","SSW","9","1022.1","","","","","",""
"","2016-03-28","8.7","19.4","0","","","","","","12.0","88","6","S","6","1021.0","","","","","",""
"","2016-03-29","12.0","17.1","0","","","","","","14.5","83","8","SSE","6","1021.7","","","","","",""
"","2016-03-30","13.0","18.9","0","","","","","","16.0","80","8","SSW","19","1020.2","","","","","",""
"","2016-03-31","11.3","22.4","0","","","","","","15.1","87","6","NW","15","1019.9","","","","","",""
