"Daily Weather Observations for Yamba, New South Wales for March 2016"
"Prepared at 13:02 GMT on Thursday 14 April 2016   IDCJDW2149.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Yamba Pilot Station {station 058012}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","22.5","28.2","2.6","","","SE","44","23:01","25.5","75","","SE","30","1019.5","26.3","68","","SE","28","1019.1"
"","2016-03-2","21.0","29.0","0","","","E","33","10:28","21.7","96","","SW","9","1020.6","28.5","70","","NNE","9","1019.7"
"","2016-03-3","21.7","29.6","1.0","","","ENE","24","14:09","24.0","96","","WSW","7","1021.9","27.3","66","","ENE","13","1020.8"
"","2016-03-4","21.1","27.9","12.4","","","NE","22","23:35","21.5","98","","SW","7","1021.7","27.2","59","","ENE","11","1019.8"
"","2016-03-5","20.3","28.0","0.2","","","ESE","24","14:19","22.6","86","","SSW","7","1021.4","26.9","62","","ESE","13","1020.2"
"","2016-03-6","19.1","28.2","0.4","","","SE","31","15:27","22.0","90","","SW","9","1021.8","25.6","78","","SE","24","1020.9"
"","2016-03-7","21.4","28.4","17.0","","","NE","26","03:33","22.9","98","","WSW","9","1022.2","27.0","65","","E","13","1020.3"
"","2016-03-8","22.1","28.1","0.6","","","ESE","37","09:51","26.3","78","","SE","19","1021.4","24.8","98","","SE","24","1020.5"
"","2016-03-9","23.3","29.0","9.4","","","NNE","26","03:23","26.1","75","","ENE","11","1022.8","27.4","69","","ENE","15","1020.8"
"","2016-03-10","20.3","28.6","0.2","","","ENE","26","17:45","23.6","80","","WSW","11","1021.7","27.8","72","","E","11","1019.8"
"","2016-03-11","21.8","28.0","3.4","","","SE","26","02:44","24.2","90","","WSW","7","1020.3","27.3","76","","E","11","1018.5"
"","2016-03-12","21.7","28.3","0.2","","","E","24","21:36","24.4","85","","WSW","7","1020.2","27.2","64","","E","13","1019.2"
"","2016-03-13","21.2","27.6","0.4","","","E","41","10:56","22.1","98","","SW","9","1019.7","25.6","87","","E","11","1017.6"
"","2016-03-14","21.7","28.1","6.0","","","ENE","24","14:33","23.7","98","","SW","6","1017.2","27.3","69","","E","11","1014.1"
"","2016-03-15","21.1","28.2","0","","","SE","48","18:18","25.5","72","","SSE","13","1015.7","26.3","68","","SSE","28","1014.4"
"","2016-03-16","21.0","25.6","50.2","","","SSE","43","11:09","22.0","98","","SSW","13","1015.5","22.8","82","","ESE","28","1014.3"
"","2016-03-17","20.8","26.2","3.4","","","SSE","37","08:21","22.9","90","","S","15","1014.7","23.2","91","","SSE","15","1011.5"
"","2016-03-18","20.0","29.1","1.6","","","WNW","43","18:42","22.7","93","","WNW","9","1009.0","28.6","70","","NNE","17","1004.0"
"","2016-03-19","21.1","26.2","8.4","","","SSE","50","10:52","23.7","95","","SSE","20","1007.8","24.8","66","","SE","33","1008.1"
"","2016-03-20","20.2","25.7","0","","","SE","46","12:08","22.0","83","","S","17","1013.8","24.7","68","","SE","28","1012.2"
"","2016-03-21","18.9","24.6","59.6","","","SSE","57","12:55","19.6","96","","S","13","1014.1","23.0","76","","SSE","35","1011.5"
"","2016-03-22","15.9","25.0","2.0","","","SE","46","12:52","19.7","76","","SW","9","1014.3","24.3","60","","SSE","30","1012.1"
"","2016-03-23","17.3","25.5","0","","","SE","41","16:03","20.9","71","","SSW","11","1017.2","24.9","58","","SE","26","1015.7"
"","2016-03-24","17.8","27.8","0","","","ESE","30","14:57","21.2","73","","WSW","9","1021.0","25.9","46","","ESE","20","1018.6"
"","2016-03-25","18.2","27.6","0","","","ENE","26","14:53","21.2","85","","SW","9","1020.2","26.4","61","","ENE","11","1016.2"
"","2016-03-26","21.1","28.0","0","","","NE","26","15:11","22.8","75","","WNW","7","1017.2","26.6","62","","ENE","15","1014.2"
"","2016-03-27","19.5","25.8","3.4","","","ENE","28","14:43","21.0","99","","W","6","1017.1","24.7","80","","E","11","1015.8"
"","2016-03-28","19.3","27.4","0.4","","","ENE","20","14:54","20.3","98","","W","9","1019.5","26.3","66","","NE","11","1016.8"
"","2016-03-29","20.0","29.2","0","","","NNE","31","19:13","23.1","82","","WNW","11","1019.2","28.0","64","","NNE","11","1015.7"
"","2016-03-30","21.3","26.4","0.2","","","W","35","12:21","23.9","82","","NW","6","1016.4","19.7","98","","SW","9","1015.0"
"","2016-03-31","17.5","26.3","7.4","","","SE","33","16:16","19.1","98","","WSW","11","1016.6","25.5","48","","SE","22","1014.9"
