"Daily Weather Observations for Yanakie, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3103.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Corner Inlet (Yanakie) {station 085301}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","17.4","29.3","0","","","E","37","01:30","21.4","90","","ENE","19","1017.3","26.2","60","","S","15","1015.2"
"","2016-03-2","12.8","30.9","0","","","SW","41","15:46","22.2","82","","WSW","7","1016.5","28.3","41","","SSW","20","1015.2"
"","2016-03-3","15.6","25.1","0","","","E","28","18:06","18.6","72","","S","7","1021.5","23.9","57","","E","7","1019.7"
"","2016-03-4","18.6","26.8","0","","","ENE","33","15:30","20.6","95","","ENE","11","1018.9","26.1","67","","E","19","1015.5"
"","2016-03-5","18.8","22.3","0.2","","","WSW","30","13:37","19.3","98","","WSW","11","1019.0","20.7","72","","SW","19","1020.3"
"","2016-03-6","12.3","24.1","0","","","SSW","24","13:00","18.6","89","","N","2","1020.9","22.5","71","","SSW","15","1019.2"
"","2016-03-7","18.6","25.7","0","","","ENE","28","22:37","19.8","96","","NNE","6","1019.6","23.5","78","","ENE","11","1021.1"
"","2016-03-8","19.8","29.3","0.4","","","ENE","48","09:21","21.4","93","","E","26","1020.9","25.2","76","","ENE","28","1018.0"
"","2016-03-9","21.4","24.4","0","","","WSW","37","10:18","24.4","64","","WSW","22","1013.8","22.1","85","","WSW","22","1016.6"
"","2016-03-10","16.3","21.5","0.8","","","E","31","11:58","17.6","96","","SE","6","1021.7","20.9","94","","E","15","1019.6"
"","2016-03-11","17.5","25.1","4.4","","","SW","33","15:23","20.2","100","","WNW","11","1017.0","24.4","74","","WSW","19","1015.8"
"","2016-03-12","15.2","21.3","0","","","SW","24","15:41","19.0","100",""," ","Calm","1020.2","20.2","87","","SSW","13","1020.5"
"","2016-03-13","17.0","22.2","0","","","S","26","14:51","17.6","99","","SSW","6","1021.2","21.2","84","","S","13","1019.1"
"","2016-03-14","17.5","21.2","0","","","SW","37","12:54","18.4","74","","SW","17","1020.3","19.6","62","","SW","24","1020.3"
"","2016-03-15","13.3","22.0","4.2","","","E","54","17:52","17.8","73","","ESE","31","1024.1","20.4","65","","E","26","1023.2"
"","2016-03-16","17.3","23.8","0","","","","","","20.4","75","","ENE","31","1021.0","23.2","61","","E","26","1018.0"
"","2016-03-17","","","","","","","","","","","","","","","","","","","",""
"","2016-03-18","","16.5","","","","WSW","106","13:38","15.7","99","","WSW","17","995.5","14.1","99","","WSW","57","996.2"
"","2016-03-19","12.1","18.3","","","","SW","57","05:50","13.8","87","","WSW","17","1012.3","17.6","53","","SSW","24","1015.9"
"","2016-03-20","4.3","20.3","0","","","E","31","13:29","12.2","96",""," ","Calm","1021.6","19.7","55","","E","19","1021.0"
"","2016-03-21","8.2","21.9","0","","","ENE","24","17:04","13.3","98",""," ","Calm","1022.5","19.9","62","","ENE","15","1021.2"
"","2016-03-22","9.7","22.2","0","","","E","37","13:59","15.8","99","","NNE","6","1021.0","20.7","57","","E","24","1017.9"
"","2016-03-23","9.4","27.2","0","","","WSW","37","12:58","15.3","97","","NNE","6","1015.8","22.6","52","","WSW","20","1015.5"
"","2016-03-24","14.2","19.8","0","","","SSW","28","14:30","16.2","85","","WSW","11","1021.0","18.9","63","","SSW","17","1019.5"
"","2016-03-25","10.4","20.9","0","","","WSW","41","15:33","14.7","91","","WNW","7","1019.8","20.1","52","","WSW","28","1018.7"
"","2016-03-26","12.8","20.9","0.2","","","WSW","44","15:32","15.8","97","","NW","13","1018.7","19.0","71","","W","28","1018.3"
"","2016-03-27","13.5","18.3","2.4","","","SW","31","14:22","14.5","77","","SSW","17","1021.3","17.5","50","","SW","22","1021.0"
"","2016-03-28","9.4","19.1","0","","","SSE","24","12:12","14.6","67","","N","2","1020.8","16.9","53","","NE","6","1019.0"
"","2016-03-29","11.8","17.6","0","","","S","19","14:40","14.6","73","","SE","6","1021.5","16.4","59","","S","11","1020.5"
"","2016-03-30","13.2","18.6","0","","","SW","41","12:54","15.2","84","","S","11","1019.5","17.6","62","","SW","28","1018.8"
"","2016-03-31","9.1","22.8","0","","","WSW","35","14:52","15.3","74","","WNW","13","1019.1","20.5","59","","WSW","22","1017.0"
