"Daily Weather Observations for Yarram, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3098.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Yarram Airport {station 085151}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","13.7","32.4","0","","","SSE","35","13:15","19.4","95","","NE","15","1017.8","29.3","47","","SE","22","1014.8"
"","2016-03-2","12.9","33.2","0","","","SW","35","17:13","20.9","65",""," ","Calm","1016.1","31.6","31","","SSE","15","1015.0"
"","2016-03-3","15.5","25.1","0","","","WSW","28","00:40","18.6","73","","SW","9","1021.6","24.3","37","","SSE","17","1019.5"
"","2016-03-4","14.0","28.3","0","","","ESE","35","12:45","20.5","84","","N","6","1019.3","26.5","63","","ESE","22","1015.8"
"","2016-03-5","18.0","24.9","0","","","SW","46","11:10","20.4","89","","WSW","22","1018.4","22.8","66","","SW","26","1019.5"
"","2016-03-6","14.1","26.0","0","","","SSE","30","11:36","20.2","77",""," ","Calm","1020.6","24.3","65","","SSE","19","1019.1"
"","2016-03-7","15.1","23.9","0","","","WSW","28","03:57","20.1","85","","NW","4","1020.0","22.4","77","","SE","11","1021.0"
"","2016-03-8","17.8","31.8","0.2","","","ESE","43","13:58","21.9","89","","E","22","1021.9","26.7","65","","ESE","30","1018.3"
"","2016-03-9","20.5","33.0","0.2","","","WSW","54","11:15","31.0","31","","NW","9","1012.4","27.7","55","","SW","11","1015.8"
"","2016-03-10","17.0","22.1","0.6","","","E","30","12:47","18.5","92","","E","9","1021.6","21.6","83","","E","15","1019.5"
"","2016-03-11","18.4","28.4","6.4","","","SW","43","13:21","21.7","85","","WSW","17","1016.7","27.5","64","","SW","31","1014.6"
"","2016-03-12","15.9","24.4","0","","","SSW","26","13:05","19.9","86","","NW","9","1020.1","23.3","73","","S","17","1019.8"
"","2016-03-13","17.7","24.1","0.4","","","SE","26","16:00","18.6","97","","WNW","7","1021.2","22.8","76","","ESE","13","1018.9"
"","2016-03-14","17.1","22.5","0","","","SW","43","12:54","18.4","76","","SW","22","1020.2","21.1","56","","SW","31","1019.7"
"","2016-03-15","13.2","21.1","4.2","","","ESE","57","05:56","17.8","72","","ESE","33","1024.4","19.6","66","","E","33","1023.7"
"","2016-03-16","17.0","24.9","0","","","E","44","13:03","20.0","77","","ENE","15","1021.8","23.9","52","","E","28","1018.5"
"","2016-03-17","14.0","29.3","0","","","ESE","33","13:09","18.6","83","","NE","19","1013.1","26.0","54","","E","22","1007.5"
"","2016-03-18","14.1","17.2","22.2","","","SW","91","14:32","14.2","95","","WSW","57","994.5","14.6","90","","W","46","993.9"
"","2016-03-19","11.4","18.1","21.6","","","WSW","46","03:09","12.9","91","","WSW","20","1012.3","17.1","59","","SSW","26","1015.4"
"","2016-03-20","5.7","20.2","0","","","ESE","35","12:23","11.1","92","","NNW","2","1021.8","19.2","56","","E","19","1021.1"
"","2016-03-21","7.0","20.7","0","","","E","30","09:46","13.4","94","","WNW","9","1022.6","19.6","58","","ESE","17","1021.4"
"","2016-03-22","8.5","21.6","0.6","","","E","35","12:32","14.5","96",""," ","Calm","1021.1","21.1","52","","E","20","1018.3"
"","2016-03-23","6.9","27.3","0","","","SSW","39","14:24","12.5","96",""," ","Calm","1016.1","25.6","40","","SSW","15","1015.0"
"","2016-03-24","12.5","21.7","0","","","SW","31","13:06","17.1","84","","WSW","17","1020.7","20.0","60","","SSW","24","1019.1"
"","2016-03-25","11.7","21.8","0","","","SW","56","13:54","16.0","78","","WNW","9","1019.9","21.0","45","","WSW","39","1018.0"
"","2016-03-26","12.2","21.7","0","","","W","46","14:09","16.8","77","","WNW","17","1018.9","20.5","60","","WSW","24","1017.6"
"","2016-03-27","13.2","18.3","0.4","","","SW","33","13:20","14.5","73","","WNW","15","1021.0","17.7","49","","WSW","22","1020.8"
"","2016-03-28","9.7","17.2","0","","","S","19","13:36","12.6","81","","SW","6","1020.8","16.8","51","","SSE","13","1018.9"
"","2016-03-29","12.5","17.6","0","","","SE","24","12:52","14.4","74","","NW","6","1021.3","16.9","63","","E","11","1020.2"
"","2016-03-30","13.0","16.3","2.0","","","WSW","41","17:02","13.4","96","","W","17","1019.0","15.4","91","","SW","22","1018.2"
"","2016-03-31","9.7","22.3","5.8","","","WSW","28","15:19","13.5","80","","WNW","7","1019.2","22.0","58","","SSW","13","1016.8"
