"Daily Weather Observations for Yarrawonga, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3087.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Yarrawonga {station 081124}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","","","","","","","","","","","","","","","","","","","",""
"","2016-03-2","","37.5","","","","","","14:13","","","","","","","35.9","15","","NNW","7","1015.7"
"","2016-03-3","17.2","37.2","","","","NNE","44","17:39","23.7","45","","S","4","1018.4","35.9","20","","N","9","1015.4"
"","2016-03-4","18.3","37.3","0","","","SSW","28","20:14","25.4","48","","E","13","1019.0","36.2","23","","N","7","1015.5"
"","2016-03-5","22.5","39.4","0","","","WSW","28","18:38","27.9","42","","NE","17","1018.1","37.1","22","","NNE","9","1015.8"
"","2016-03-6","25.2","39.0","0","","","ENE","30","12:33","28.6","44","","ENE","15","1018.5","38.0","18","","ENE","19","1016.0"
"","2016-03-7","20.4","39.1","0","","","ENE","28","07:46","27.9","39","","ENE","17","1018.3","37.9","20","","NE","13","1015.9"
"","2016-03-8","19.3","38.1","0","","","NE","33","08:25","27.9","44","","ENE","17","1019.1","37.0","24","","N","11","1016.5"
"","2016-03-9","24.7","38.7","0","","","NW","41","12:56","26.8","47","","NE","20","1017.0","35.8","22","","W","6","1014.2"
"","2016-03-10","24.1","37.5","0","","","WSW","57","16:03","27.1","53","","SSE","15","1018.2","35.5","26","","NE","11","1013.9"
"","2016-03-11","21.9","34.4","0","","","S","31","17:21","23.8","80","","ENE","13","1016.6","32.7","43","","NW","6","1014.4"
"","2016-03-12","22.3","35.0","0.4","","","S","31","15:58","25.7","75","","E","11","1018.3","33.5","37","","SSW","4","1016.3"
"","2016-03-13","17.0","35.7","0.2","","","SW","30","16:50","23.0","75","","SSW","6","1018.3","32.5","35","","NW","7","1015.2"
"","2016-03-14","16.5","34.3","0","","","WSW","39","16:45","21.1","75","","SW","11","1017.0","32.9","27","","WSW","24","1014.3"
"","2016-03-15","13.2","32.5","0","","","NE","41","11:43","21.2","69","","ESE","11","1017.5","30.5","38","","E","9","1015.2"
"","2016-03-16","14.9","31.8","0","","","NE","30","11:43","21.9","66","","E","11","1018.6","31.1","34","","NE","11","1015.1"
"","2016-03-17","19.3","31.7","0","","","NE","31","08:13","21.6","64","","NE","19","1014.7","29.7","39","","NE","9","1008.9"
"","2016-03-18","20.7","21.5","16.4","","","W","74","08:29","20.7","100","","NNW","30","995.2","19.6","60","","WSW","48","1001.8"
"","2016-03-19","9.2","21.1","3.0","","","SSW","39","15:28","11.9","86","","WSW","20","1014.4","20.1","50","","SSW","19","1014.4"
"","2016-03-20","8.3","24.1","0","","","SE","26","10:55","14.0","71","","S","6","1018.4","21.8","35","","NE","9","1016.7"
"","2016-03-21","10.0","25.9","0","","","ESE","30","13:54","15.4","64","","SSE","7","1019.8","25.0","28","","SSE","17","1016.6"
"","2016-03-22","10.5","26.5","0","","","ENE","19","09:31","16.6","72","","ESE","9","1019.3","24.9","35","","SSE","11","1016.2"
"","2016-03-23","10.9","28.5","0","","","WSW","24","13:39","16.3","74","","E","9","1017.9","26.6","28","","WSW","11","1016.8"
"","2016-03-24","16.3","27.4","0","","","W","28","16:23","19.8","64","","E","7","1019.5","26.2","29","","WNW","4","1017.4"
"","2016-03-25","16.5","28.6","0","","","WSW","35","15:21","18.6","79","","SW","6","1018.8","27.1","39","","WNW","20","1016.2"
"","2016-03-26","9.7","25.7","0","","","W","41","16:18","14.2","78","","SW","11","1018.7","24.6","38","","SW","20","1016.7"
"","2016-03-27","11.2","26.6","0","","","WSW","31","17:39","15.1","75","","SSW","13","1018.0","25.7","38","","WSW","6","1015.8"
"","2016-03-28","9.3","24.1","0","","","SW","20","20:16","12.2","79","","S","4","1017.1","23.0","34","","WNW","9","1014.8"
"","2016-03-29","12.2","25.6","0","","","NNW","22","12:21","15.3","70","","WSW","7","1017.6","24.2","29","","N","6","1015.4"
"","2016-03-30","12.8","24.9","0","","","WSW","37","17:02","14.7","75","","W","11","1017.6","22.4","38","","WSW","7","1015.6"
"","2016-03-31","7.9","24.7","0","","","N","17","14:56","12.6","76","","SSW","6","1019.0","23.9","42","","WNW","7","1016.5"
